#,*EventCODE,*EventType,*Action ( Reboot + 3+ shutdown) or Error/Warning/Info/Busy/Idle/Stop,"Response to negative options selected by the user - Cancel, No etc","*SourceComponent , mandatory if Ack is true",Yes/No,High/Medium/Low/None,True/False,EnglishString,Ok-Yes+No-Continue+Stop-Ok+Cancel,Yes/No,EventInfo
#EventId,EventMacro,EventType,ActionTypePositive,ActionTypeNegative,Source,AlarmTone,*LogLevel,UserLog,EventString,GUIEvent,StatusBarIcon,EventInfo
17825797,EVENT_EXPORT_UNABLE_TO_READ_FILE_TEMP_EXPORTCONFIGURATION,Error,,,Export,No,Medium,FALSE,Export failed. Unable to read the TempConfiguration.xml file,,,
17825798,EVENT_EXPORT_INIT_CONTAINER_FAILED,Error,,,Export,No,Medium,FALSE,Export failed. Container initialization failed,,,
17825799,EVENT_EXPORT_VERIFICATION_CONTAINER_FAILED,Error,,,Export,No,Medium,FALSE,Export failed. Verification of the container failed,,,
17825800,EVENT_EXPORT_UNABLE_TO_ARCHIVE_FILES,Error,,,Export,No,Medium,FALSE,Export failed. Unable to archive the files,,,
17825801,EVENT_EXPORT_SUCCESS,Info,,,Export,No,High,TRUE,Export successful.,,,
17825802,EVENT_EXPORT_FAILED,Error,,,Export,No,High,TRUE,Export failed.,,,
17825803,EVENT_EXPORT_SOURCE_DIRECTORY_NOT_EXISTS,Error,,,Export,No,Medium,FALSE,Export failed. Source directory does not exist,,,
17825804,EVENT_EXPORT_TARGET_DIRECTORY_NOT_EXISTS,Error,,,Export,No,Medium,FALSE,Export failed. Target directory does not exist,,,
17825805,EVENT_EXPORT_LOG_DIRECTORY_NOT_EXISTS,Error,,,Export,No,Medium,FALSE,Export failed. Log directory does not exist,,,
17825806,EVENT_EXPORT_TARGET_FILE_FORMAT_IS_WRONG,Error,,,Export,No,Medium,FALSE,Export failed. Target file name format is wrong,,,
17825807,EVENT_EXPORT_INVALID_EXPORT,Error,,,Export,No,Medium,FALSE,Export failed. Invalid type of requested export,,,
17825808,EVENT_EXPORT_CRYTOSERVICE_RUNNING,Error,,,Export,No,Medium,FALSE,Export failed. Trying to run more than one Cryptoservice,,,
17825809,EVENT_EXPORT_CANNOT_OPEN_FILE_FOR_READ,Error,,,Export,No,Medium,FALSE,Export failed. Cannot open the file for reading,,,
17825810,EVENT_EXPORT_CANNOT_OPEN_FILE_FOR_WRITE,Error,,,Export,No,Medium,FALSE,Export failed. Cannot open the file for writing,,,
17825811,EVENT_EXPORT_ERROR_TO_READ,Error,,,Export,No,Medium,FALSE,Export failed. Error in reading file,,,
17825812,EVENT_EXPORT_ERROR_TO_WRITE,Error,,,Export,No,Medium,FALSE,Export failed. Error in writing file,,,
17825813,EVENT_EXPORT_INDEX_IS_MATCHING,Error,,,Export,No,Medium,FALSE,Export failed. Hash chain index and USB device indexes are matching,,,
17825814,EVENT_EXPORT_KEY_SIZE_LESS,Error,,,Export,No,Medium,FALSE,Export failed. Key file size is more by comparing with hash block size,,,
17825815,EVENT_EXPORT_KEYDATA_SIZE_IS_NOT_MATCHING,Error,,,Export,No,Medium,FALSE,Export failed. Key file size is not matching with the in-built key file size,,,
17825816,EVENT_EXPORT_HMAC_NOT_INITIALIZED,Error,,,Export,No,Medium,FALSE,Export failed. Hash-based message authentication code is not initialized,,,
17825817,EVENT_EXPORT_AES_NOT_INITIALIZED,Error,,,Export,No,Medium,FALSE,Export failed. Advance Encryption Standard is not initialized,,,
17825818,EVENT_EXPORT_INTEGER_SIZE_IS_MORE,Error,,,Export,No,Medium,FALSE,Export failed. Size of the array shall be either 4 or 2 or 1,,,
17825819,EVENT_EXPORT_MSB_BIT_IS_NOT_SET,Error,,,Export,No,Medium,FALSE,Export failed. Most significat bit not set for calculations,,,
17825820,EVENT_EXPORT_INVALID_FILE_MODE,Error,,,Export,No,Medium,FALSE,Export failed. Wrong file mode is detected,,,
17825821,EVENT_EXPORT_HMAC_COMPUTATION_STARTED,Error,,,Export,No,Medium,FALSE,Export failed. Hash-based message authentication code computation already started,,,
17825822,EVENT_EXPORT_ZIP_ERROR,Error,,,Export,No,Medium,FALSE,Export failed. Unable to zip the files,,,
17825823,EVENT_EXPORT_ZIP_COMMAND_NOT_FOUND,Error,,,Export,No,Medium,FALSE,Export failed. Zip command not found in the system,,,
17825824,EVENT_EXPORT_ZIP_IS_TAKING_LONGTIME,Error,,,Export,No,Medium,FALSE,Export failed. Zip is taking long time to complete the request,,,
17891329,EVENT_PASSWORDMANAGER_NO_USB_DEVICE_EXISTS,Error,,,Main,No,Medium,TRUE,Service authentication failed. No USB device found,Ok,,
17891330,EVENT_PASSWORDMANAGER_KEY_FILE_NOT_FOUND,Error,,,Main,No,Medium,TRUE,Service authentication failed. Unable to read Service Key file from USB,Ok,,
17891331,EVENT_PASSWORDMANAGER_HASH_NOT_MATCHED,Error,,,Main,No,Medium,TRUE,Service authentication failed. Service PIN is invalid,Ok,,
17891332,EVENT_PASSWORDMANAGER_CHECKSUM_NOT_MATCHED,Error,,,Main,No,Medium,TRUE,Service authentication failed. Service Key file is invalid,Ok,,
17891333,EVENT_PASSWORDMANAGER_DATE_IS_EXPIRED,Error,,,Main,No,Medium,TRUE,Service authentication failed. Training date is expired for the entered password,Ok,,
17891334,EVENT_PASSWORDMANAGER_DEVICENAME_NOT_EXISTS,Error,,,Main,No,Medium,TRUE,Service authentication failed. Instrument Device name does not exist in the key file,Ok,,
17891335,EVENT_PASSWORDMANAGER_BASIC_TAG_VALUE_IS_WRONG,Error,,,Main,No,Medium,TRUE,Service authentication failed. Service User is not trained for this instrument,Ok,,
17891336,EVENT_PASSWORDMANAGER_LOG_SERVICE_ID,Info,,,Main,No,Medium,TRUE,Service login successful and the service id is %1,Ok,,
17956865,EVENT_DM_ERROR_INVALID_AGITAION_SPEED,Info,,,,No,Low,FALSE,'%1' is not a valid Agitation Speed,Ok,,
17956866,EVENT_DM_ERROR_INVALID_OVENTEMP,Info,,,,No,Low,FALSE,'%1' is not a valid Oven temperature,Ok,,
